invoice_id,dtme,tme,payment_method,cogs,gross_margin_pct,gross_income,rating,time_of_day,day_name,month_name
750-67-8428,2019-01-05 0:00:00,13:08:00,Ewallet,522.83,4.7619,26.1415,9.1,afternoon,Saturday,January
226-31-3081,2019-03-08 0:00:00,10:29:00,Cash,76.4,4.7619,3.82,9.6,morning,Friday,March
631-41-3108,2019-03-03 0:00:00,13:23:00,Credit card,324.31,4.7619,16.2155,7.4,afternoon,Sunday,March
123-19-1176,2019-01-27 0:00:00,20:33:00,Ewallet,465.76,4.7619,23.288,8.4,evening,Sunday,January
373-73-7910,2019-02-08 0:00:00,10:37:00,Ewallet,604.17,4.7619,30.2085,5.3,morning,Friday,February
699-14-3026,2019-03-25 0:00:00,18:30:00,Ewallet,597.73,4.7619,29.8865,4.1,evening,Monday,March
355-53-5943,2019-02-25 0:00:00,14:36:00,Ewallet,413.04,4.7619,20.652,5.8,afternoon,Monday,February
315-22-5665,2019-02-24 0:00:00,11:38:00,Ewallet,735.6,4.7619,36.78,8,morning,Sunday,February
665-32-9167,2019-01-10 0:00:00,17:15:00,Credit card,72.52,4.7619,3.626,g,evening,Thursday,January
692-92-5582,2019-02-20 0:00:00,13:27:00,Credit card,164.52,4.7619,8.226,5.9,afternoon,Wednesday,February
351-62-0822,2019-02-06 0:00:00,18:07:00,Ewallet,57.92,4.7619,2.896,4.5,evening,Wednesday,February
529-56-3974,2019-03-09 0:00:00,17:03:00,Cash,102.04,4.7619,5.102,6.8,evening,Saturday,March
365-64-0515,2019-02-12 0:00:00,10:25:00,Ewallet,234.75,4.7619,11.7375,7.1,morning,Tuesday,February
252-56-2699,2019-02-07 0:00:00,16:48:00,Ewallet,431.9,4.7619,21.595,8.2,evening,Thursday,February
829-34-3910,2019-03-29 0:00:00,19:21:00,Cash,713.8,4.7619,35.69,5.7,evening,Friday,March
299-46-1805,2019-01-15 0:00:00,16:19:00,Cash,562.32,4.7619,28.116,4.5,evening,Tuesday,January
656-95-9349,2019-03-11 0:00:00,11:03:00,Credit card,482.51,4.7619,24.1255,4.6,morning,Monday,March
765-26-6951,2019-01-01 0:00:00,10:39:00,Credit card,435.66,4.7619,21.783,6.9,morning,Tuesday,January
329-62-1586,2019-01-21 0:00:00,18:00:00,Credit card,164.01,4.7619,8.2005,8.6,evening,Monday,January
319-50-3348,2019-03-11 0:00:00,15:30:00,Ewallet,80.6,4.7619,4.03,4.4,afternoon,Monday,March
300-71-4605,2019-02-25 0:00:00,11:24:00,Ewallet,430.2,4.7619,21.51,4.8,morning,Monday,February
371-85-5789,2019-03-05 0:00:00,10:40:00,Ewallet,263.94,4.7619,13.197,5.1,morning,Tuesday,March
273-16-6619,2019-03-15 0:00:00,12:20:00,Credit card,66.4,4.7619,3.32,4.4,afternoon,Friday,March
636-48-8204,2019-02-17 0:00:00,11:15:00,Ewallet,172.8,4.7619,8.64,9.9,morning,Sunday,February
549-59-1358,2019-03-02 0:00:00,17:36:00,Ewallet,265.89,4.7619,13.2945,6,evening,Saturday,March
227-03-5010,2019-03-22 0:00:00,19:20:00,Credit card,420.72,4.7619,21.036,8.5,evening,Friday,March
649-29-6775,2019-02-08 0:00:00,15:31:00,Cash,33.52,4.7619,1.676,6.7,afternoon,Friday,February
189-17-4241,2019-03-10 0:00:00,12:17:00,Credit card,175.34,4.7619,8.767,7.7,afternoon,Sunday,March
145-94-9061,2019-01-25 0:00:00,19:48:00,Cash,441.8,4.7619,22.09,9.6,evening,Friday,January
848-62-7243,2019-03-15 0:00:00,15:36:00,Cash,224.01,4.7619,11.2005,7.4,afternoon,Friday,March
871-79-8483,2019-02-25 0:00:00,19:39:00,Credit card,470.65,4.7619,23.5325,4.8,evening,Monday,February
149-71-6266,2019-01-28 0:00:00,12:43:00,Cash,702.63,4.7619,35.1315,4.5,afternoon,Monday,January
640-49-2076,2019-01-10 0:00:00,14:49:00,Cash,670.24,4.7619,33.512,5.1,afternoon,Thursday,January
